"Name","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","ID"
"Jahmyr Gibbs","RB","DET","1","1.2","0.2","RB01","RB01","0","1214154"
"Ja'Marr Chase","WR","CIN","2","3.1","1.1","WR01","WR01","0","1109979"
"Puka Nacua","WR","LA","3","4.0","1.0","WR02","WR02","0","1162128"
"Jaxon Smith-Njigba","WR","SEA","4","5.5","1.5","WR03","WR03","0","1214087"
"Bijan Robinson","RB","ATL","5","2.1","-2.9","RB02","RB02","0","1228244"
"Justin Jefferson","WR","MIN","6","9.3","3.3","WR04","WR05","1","1069535"
"Amon-Ra St Brown","WR","DET","7","7.2","0.2","WR05","WR04","-1","1127106"
"Christian McCaffrey","RB","SF","8","6.1","-1.9","RB03","RB03","0","830517"
"CeeDee Lamb","WR","DAL","9","10.4","1.4","WR06","WR06","0","1062020"
"Jonathan Taylor","RB","IND","10","8.5","-1.5","RB04","RB04","0","1065406"
"Saquon Barkley","RB","PHI","11","13.2","2.2","RB05","RB07","2","883302"
"James Cook","RB","BUF","12","10.7","-1.3","RB06","RB05","-1","1131012"
"Ashton Jeanty","RB","LV","13","12.3","-0.7","RB07","RB06","-1","1379646"
"Drake London","WR","ATL","14","20.6","6.6","WR07","WR08","1","1178741"
"Derrick Henry","RB","BAL","15","19.3","4.3","RB08","RB12","4","732145"
"Kenneth Walker","RB","KC","16","15.7","-0.3","RB09","RB09","0","1164402"
"Brock Bowers","TE","LV","17","19.7","2.7","TE01","TE01","0","1285917"
"AJ Brown","WR","NE","18","16.2","-1.8","WR08","WR07","-1","944826"
"De'Von Achane","RB","MIA","19","18.7","-0.3","RB10","RB11","1","1231820"
"Chase Brown","RB","CIN","20","16.8","-3.2","RB11","RB10","-1","1123379"
"Omarion Hampton","RB","LAC","21","14.9","-6.1","RB12","RB08","-4","1398572"
"Trey McBride","TE","ARI","22","25.0","3.0","TE02","TE02","0","1108161"
"George Pickens","WR","DAL","23","23.8","0.8","WR09","WR10","1","1172053"
"Nico Collins","WR","HOU","24","22.9","-1.1","WR10","WR09","-1","1074698"
"Chris Olave","WR","NO","25","28.9","3.9","WR11","WR13","2","1122592"
"Jeremiyah Love","RB","ARI","26","27.4","1.4","RB13","RB13","0","1451501"
"Rashee Rice","WR","KC","27","25.2","-1.8","WR12","WR11","-1","1173538"
"Devonta Smith","WR","PHI","28","28.1","0.1","WR13","WR12","-1","1060262"
"Garrett Wilson","WR","NYJ","29","37.5","8.5","WR14","WR18","4","1164889"
"Kyren Williams","RB","LA","30","29.5","-0.5","RB14","RB14","0","1167361"
"Breece Hall","RB","NYJ","31","33.5","2.5","RB15","RB15","0","1162537"
"Ladd McConkey","WR","LAC","32","34.6","2.6","WR15","WR16","1","1218643"
"Zay Flowers","WR","BAL","33","32.1","-0.9","WR16","WR15","-1","1177053"
"Emeka Egbuka","WR","TB","34","30.8","-3.2","WR17","WR14","-3","1287825"
"Javonte Williams","RB","DAL","35","36.2","1.2","RB16","RB16","0","1107881"
"Josh Allen","QB","BUF","36","26.6","-9.4","QB01","QB01","0","868199"
"Colston Loveland","TE","CHI","37","39.2","2.2","TE03","TE03","0","1378821"
"Tee Higgins","WR","CIN","38","35.1","-2.9","WR18","WR17","-1","978579"
"Travis Etienne","RB","NO","39","40.2","1.2","RB17","RB17","0","978577"
"Josh Jacobs","RB","GB","40","41.0","1.0","RB18","RB18","0","944416"
"Malik Nabers","WR","NYG","41","40.5","-0.5","WR19","WR19","0","1286059"
"Davante Adams","WR","LA","42","48.7","6.7","WR20","WR25","5","611417"
"Tetairoa McMillan","WR","CAR","43","44.2","1.2","WR21","WR21","0","1380576"
"Terry McLaurin","WR","WAS","44","46.1","2.1","WR22","WR23","1","836116"
"D'Andre Swift","RB","CHI","45","50.2","5.2","RB19","RB21","2","1069808"
"Luther Burden","WR","CHI","46","44.7","-1.3","WR23","WR22","-1","1377732"
"Jaylen Waddle","WR","DEN","47","41.4","-5.6","WR24","WR20","-4","1125749"
"Cam Skattebo","RB","NYG","48","45.0","-3.0","RB20","RB19","-1","1280316"
"Jameson Williams","WR","DET","49","53.2","4.2","WR25","WR27","2","1175184"
"Lamar Jackson","QB","BAL","50","52.6","2.6","QB02","QB02","0","877745"
"David Montgomery","RB","HOU","51","47.3","-3.7","RB21","RB20","-1","946739"
"Bucky Irving","RB","TB","52","60.7","8.7","RB22","RB25","3","1287923"
"Mike Evans","WR","SF","53","51.2","-1.8","WR26","WR26","0","593587"
"DJ Moore","WR","BUF","54","48.6","-5.4","WR27","WR24","-3","877790"
"Jayden Daniels","QB","WAS","55","69.3","14.3","QB03","QB05","2","1161228"
"Joe Burrow","QB","CIN","56","58.0","2.0","QB04","QB03","-1","878785"
"Bhayshul Tuten","RB","JAX","57","55.8","-1.2","RB23","RB23","0","1327169"
"Jordyn Tyson","WR","NO","58","70.0","12.0","WR28","WR34","6","1394692"
"Tony Pollard","RB","TEN","59","71.8","12.8","RB24","RB27","3","880398"
"TreVeyon Henderson","RB","NE","60","57.3","-2.7","RB25","RB24","-1","1287837"
"Jadarian Price","RB","SEA","61","65.4","4.4","RB26","RB26","0","1383791"
"Quinshon Judkins","RB","CLE","62","55.7","-6.3","RB27","RB22","-5","1383807"
"Christian Watson","WR","GB","63","54.6","-8.4","WR29","WR28","-1","1067918"
"DK Metcalf","WR","PIT","64","76.1","12.1","WR30","WR36","6","945633"
"Tyler Warren","TE","IND","65","60.4","-4.6","TE04","TE04","0","1229083"
"Carnell Tate","WR","TEN","66","62.4","-3.6","WR31","WR30","-1","1441839"
"Drake Maye","QB","NE","67","63.5","-3.5","QB05","QB04","-1","1286803"
"Rhamondre Stevenson","RB","NE","68","76.6","8.6","RB28","RB29","1","1174682"
"Rico Dowdle","RB","PIT","69","90.5","21.5","RB29","RB32","3","933480"
"Parker Washington","WR","JAX","70","65.3","-4.7","WR32","WR32","0","1229074"
"Dak Prescott","QB","DAL","71","79.3","8.3","QB06","QB08","2","591816"
"Marvin Harrison","WR","ARI","72","66.5","-5.5","WR33","WR33","0","1287828"
"Jalen Hurts","QB","PHI","73","75.2","2.2","QB07","QB07","0","913271"
"Jaylen Warren","RB","PIT","74","74.1","0.1","RB30","RB28","-2","1176443"
"Brian Thomas","WR","JAX","75","65.0","-10.0","WR34","WR31","-3","1286064"
"Rome Odunze","WR","CHI","76","59.0","-17.0","WR35","WR29","-6","1213727"
"Chuba Hubbard","RB","CAR","77","81.0","4.0","RB31","RB30","-1","1062047"
"Caleb Williams","QB","CHI","78","71.0","-7.0","QB08","QB06","-2","1286445"
"Matthew Stafford","QB","LA","79","89.7","10.7","QB09","QB11","2","323205"
"Justin Herbert","QB","LAC","80","82.9","2.9","QB10","QB09","-1","910562"
"RJ Harvey","RB","DEN","81","85.6","4.6","RB32","RB31","-1","1172401"
"Brock Purdy","QB","SF","82","97.4","15.4","QB11","QB13","2","1121761"
"Jordan Addison","WR","MIN","83","98.9","15.9","WR36","WR45","9","1214250"
"Jayden Reed","WR","GB","84","93.0","9.0","WR37","WR43","6","1123398"
"Tucker Kraft","TE","GB","85","77.1","-7.9","TE05","TE05","0","1181874"
"Courtland Sutton","WR","DEN","86","83.3","-2.7","WR38","WR39","1","838878"
"Trevor Lawrence","QB","JAX","87","85.2","-1.8","QB12","QB10","-2","1110711"
"Patrick Mahomes","QB","KC","88","95.8","7.8","QB13","QB12","-1","839031"
"Alec Pierce","WR","IND","89","81.2","-7.8","WR39","WR38","-1","1107027"
"Chris Godwin","WR","TB","90","78.8","-11.2","WR40","WR37","-3","835127"
"Sam LaPorta","TE","DET","91","91.0","-0.0","TE06","TE07","1","1168926"
"Jordan Love","QB","GB","92","113.5","21.5","QB14","QB18","4","912137"
"Kenneth Gainwell","RB","TB","93","95.3","2.3","RB33","RB33","0","1130705"
"Kyler Murray","QB","MIN","94","110.5","16.5","QB15","QB17","2","879799"
"Harold Fannin","TE","CLE","95","102.8","7.8","TE07","TE08","1","1394752"
"Jaxson Dart","QB","NYG","96","103.3","7.3","QB16","QB14","-2","1286260"
"Kyle Pitts","TE","ATL","97","85.9","-11.1","TE08","TE06","-2","1123026"
"Michael Wilson","WR","ARI","98","88.0","-10.0","WR41","WR41","0","1123529"
"Quentin Johnston","WR","LAC","99","73.2","-25.8","WR42","WR35","-7","1213865"
"Michael Pittman","WR","PIT","100","92.4","-7.6","WR43","WR42","-1","911348"
"Josh Downs","WR","IND","101","97.1","-3.9","WR44","WR44","0","1215077"
"Bo Nix","QB","DEN","102","110.4","8.4","QB17","QB16","-1","1161899"
"Jared Goff","QB","DET","103","104.4","1.4","QB18","QB15","-3","727837"
"Makai Lemon","WR","PHI","104","86.8","-17.2","WR45","WR40","-5","1441120"
"Blake Corum","RB","LA","105","102.6","-2.4","RB34","RB36","2","1229540"
"Jakobi Meyers","WR","JAX","106","113.7","7.7","WR46","WR49","3","880151"
"Xavier Worthy","WR","KC","107","110.8","3.8","WR47","WR48","1","1326638"
"JK Dobbins","RB","DEN","108","108.0","-0.0","RB35","RB37","2","976513"
"Kyle Monangai","RB","CHI","109","99.5","-9.5","RB36","RB34","-2","1250886"
"Ricky Pearsall","WR","SF","110","100.4","-9.6","WR48","WR46","-2","1161416"
"Matthew Golden","WR","GB","111","115.7","4.7","WR49","WR50","1","1379267"
"George Kittle","TE","SF","112","105.0","-7.0","TE09","TE09","0","733672"
"Wan'Dale Robinson","WR","TEN","113","106.6","-6.4","WR50","WR47","-3","1164875"
"Baker Mayfield","QB","TB","114","120.6","6.6","QB19","QB20","1","748070"
"KC Concepcion","WR","CLE","115","126.4","11.4","WR51","WR53","2","1441576"
"Aaron Jones","RB","MIN","116","124.1","8.1","RB37","RB40","3","741314"
"Khalil Shakir","WR","BUF","117","123.7","6.7","WR52","WR52","0","1130603"
"Travis Kelce","TE","KC","118","119.0","1.0","TE10","TE11","1","448240"
"Malik Willis","QB","MIA","119","131.6","12.6","QB20","QB21","1","976323"
"Dallas Goedert","TE","PHI","120","121.3","1.3","TE11","TE13","2","791365"
"Dalton Kincaid","TE","BUF","121","112.7","-8.3","TE12","TE10","-2","1135513"
"Jordan Mason","RB","MIN","122","117.7","-4.3","RB38","RB39","1","1116001"
"Rachaad White","RB","WAS","123","112.1","-10.9","RB39","RB38","-1","1229343"
"Sam Darnold","QB","SEA","124","134.9","10.9","QB21","QB22","1","880026"
"Jonathon Brooks","RB","CAR","125","100.4","-24.6","RB40","RB35","-5","1326601"
"Tyler Shough","QB","NO","126","117.9","-8.1","QB22","QB19","-3","1110306"
"CJ Stroud","QB","HOU","127","141.3","14.3","QB23","QB24","1","1214084"
"Tyrone Tracy","RB","NYG","128","132.9","4.9","RB41","RB42","1","1109708"
"Jake Ferguson","TE","DAL","129","127.8","-1.2","TE13","TE14","1","1065361"
"Mark Andrews","TE","BAL","130","130.9","0.9","TE14","TE15","1","820699"
"Chris Rodriguez","RB","JAX","131","138.2","7.2","RB42","RB43","1","1113403"
"Jalen Coker","WR","CAR","132","129.4","-2.6","WR53","WR54","1","1218753"
"Jacory Croskey-Merritt","RB","WAS","133","125.4","-7.6","RB43","RB41","-2","1191186"
"Romeo Doubs","WR","NE","134","121.6","-12.4","WR54","WR51","-3","1122653"
"Daniel Jones","QB","IND","135","145.0","10.0","QB24","QB25","1","879981"
"Stefon Diggs","WR","FA","136","137.3","1.3","WR55","WR57","2","694041"
"Jayden Higgins","WR","HOU","137","132.3","-4.7","WR56","WR55","-1","1274492"
"Keaton Mitchell","RB","LAC","138","141.5","3.5","RB44","RB44","0","1222789"
"Woody Marks","RB","HOU","139","146.1","7.1","RB45","RB47","2","1231652"
"Isaiah Likely","TE","NYG","140","120.0","-20.0","TE15","TE12","-3","1125111"
"Cameron Ward","QB","TEN","141","139.6","-1.4","QB25","QB23","-2","1228691"
"Rashid Shaheed","WR","SEA","142","135.4","-6.6","WR57","WR56","-1","923412"
"Tyjae Spears","RB","TEN","143","154.6","11.6","RB46","RB49","3","1169430"
"Omar Cooper","WR","NYJ","144","152.2","8.2","WR58","WR60","2","1394825"
"Alvin Kamara","RB","NO","145","153.2","8.2","RB47","RB48","1","750846"
"Bryce Young","QB","CAR","146","151.4","5.4","QB26","QB26","0","1213257"
"Brenton Strange","TE","JAX","147","147.5","0.5","TE16","TE18","2","1164940"
"Jauan Jennings","WR","MIN","148","154.0","6.0","WR59","WR61","2","867009"
"Isiah Pacheco","RB","DET","149","144.2","-4.8","RB48","RB46","-2","1106832"
"Oronde Gadsden","TE","LAC","150","147.3","-2.7","TE17","TE17","0","1325624"
"Denzel Boston","WR","CLE","151","165.5","14.5","WR60","WR66","6","1379904"
"Jalen McMillan","WR","TB","152","143.1","-8.9","WR61","WR58","-3","1213726"
"Kenyon Sadiq","TE","NYJ","153","161.6","8.6","TE18","TE21","3","1444547"
"Hunter Henry","TE","NE","154","155.0","1.0","TE19","TE20","1","744425"
"Chig Okonkwo","TE","WAS","155","138.9","-16.1","TE20","TE16","-4","1106374"
"Aaron Rodgers","QB","PIT","156","166.0","10.0","QB27","QB27","0","213957"
"Juwan Johnson","TE","NO","157","151.2","-5.8","TE21","TE19","-2","884609"
"TJ Hockenson","TE","MIN","158","164.6","6.6","TE22","TE22","0","923915"
"Jalen Nailor","WR","LV","159","149.2","-9.8","WR62","WR59","-3","1126817"
"Tyler Allgeier","RB","ARI","160","159.6","-0.4","RB49","RB50","1","1131198"
"Brian Robinson","RB","ATL","161","177.1","16.1","RB50","RB54","4","973966"
"Tre Tucker","WR","LV","162","159.5","-2.5","WR63","WR63","0","1164979"
"Deebo Samuel","WR","FA","163","170.3","7.3","WR64","WR68","4","835749"
"Dylan Sampson","RB","CLE","164","169.3","5.3","RB51","RB52","1","1399910"
"Jonah Coleman","RB","DEN","165","168.7","3.7","RB52","RB51","-1","1380594"
"Tank Bigsby","RB","PHI","166","173.6","7.6","RB53","RB53","0","1215035"
"Ryan Flournoy","WR","DAL","167","164.1","-2.9","WR65","WR65","0","1393832"
"Cade Otton","TE","TB","168","185.3","17.3","TE23","TE27","4","1049263"
"Fernando Mendoza","QB","LV","169","172.7","3.7","QB28","QB29","1","1400786"
"Dalton Schultz","TE","HOU","170","170.6","0.6","TE24","TE23","-1","830523"
"Sean Tucker","RB","TB","171","189.4","18.4","RB54","RB56","2","1228633"
"Zach Charbonnet","RB","SEA","172","142.1","-29.9","RB55","RB45","-10","1164530"
"Jerry Jeudy","WR","CLE","173","182.2","9.2","WR66","WR72","6","973935"
"Pat Freiermuth","TE","PIT","174","196.7","22.7","TE25","TE29","4","1116662"
"Calvin Ridley","WR","TEN","175","193.6","18.6","WR67","WR77","10","884013"
"Cooper Kupp","WR","SEA","176","197.6","21.6","WR68","WR79","11","698227"
"Germie Bernard","WR","PIT","177","196.1","19.1","WR69","WR78","9","1380613"
"Ray Davis","RB","BUF","178","194.0","16.0","RB56","RB58","2","1165229"
"Antonio Williams","WR","WAS","179","174.2","-4.8","WR70","WR69","-1","1378290"
"Adonai Mitchell","WR","NYJ","180","176.0","-4.0","WR71","WR70","-1","1285908"
"Tre' Harris","WR","LAC","181","180.4","-0.6","WR72","WR71","-1","1214633"
"Ty Johnson","RB","BUF","182","226.5","44.5","RB57","RB77","20","877784"
"Justice Hill","RB","BAL","183","205.8","22.8","RB58","RB62","4","923109"
"Isaac TeSlaa","WR","DET","184","167.3","-16.7","WR73","WR67","-6","1441362"
"DJ Giddens","RB","IND","185","227.1","42.1","RB59","RB80","21","1303569"
"Kaytron Allen","RB","WAS","186","208.7","22.7","RB60","RB63","3","1379259"
"Gunnar Helm","TE","TEN","187","181.1","-5.9","TE26","TE25","-1","1286438"
"Emmett Johnson","RB","KC","188","199.7","11.7","RB61","RB60","-1","1379251"
"Jaydon Blue","RB","DAL","189","183.1","-5.9","RB62","RB55","-7","1378898"
"Terrance Ferguson","TE","LA","190","188.8","-1.2","TE27","TE28","1","1286179"
"Samaje Perine","RB","CIN","191","223.2","32.2","RB63","RB69","6","820734"
"Greg Dulcich","TE","MIA","192","172.2","-19.8","TE28","TE24","-4","1128085"
"Travis Hunter","WR","JAX","193","157.9","-35.1","WR74","WR62","-12","1399275"
"Braelon Allen","RB","NYJ","194","190.9","-3.1","RB64","RB57","-7","1325231"
"Jordan James","RB","SF","195","221.4","26.4","RB65","RB68","3","1400657"
"De'Zhaun Stribling","WR","SF","196","185.7","-10.3","WR75","WR73","-2","1286818"
"Mike Washington","RB","LV","197","212.5","15.5","RB66","RB65","-1","1289428"
"Kaelon Black","RB","SF","198","225.0","27.0","RB67","RB70","3","1215772"
"Zachariah Branch","WR","ATL","199","188.8","-10.2","WR76","WR74","-2","1441110"
"MarShawn Lloyd","RB","GB","200","198.5","-1.5","RB68","RB59","-9","1213414"
"Najee Harris","RB","FA","201","229.9","28.9","RB69","RB93","24","973964"
"Mike Gesicki","TE","CIN","202","210.3","8.3","TE29","TE32","3","836152"
"Tank Dell","WR","HOU","203","191.8","-11.2","WR77","WR76","-1","1128222"
"Nicholas Singleton","RB","TEN","204","204.0","0.0","RB70","RB61","-9","1379264"
"Chris Brooks","RB","GB","205","227.3","22.3","RB71","RB81","10","1127065"
"Geno Smith","QB","NYJ","206","179.9","-26.1","QB29","QB30","1","513856"
"Pat Bryant","WR","DEN","207","220.6","13.6","WR78","WR90","12","1305866"
"Demond Claiborne","RB","MIN","208","219.3","11.3","RB72","RB66","-6","1390910"
"AJ Barner","TE","SEA","209","184.2","-24.8","TE30","TE26","-4","1229503"
"Colby Parkinson","TE","LA","210","201.3","-8.7","TE31","TE30","-1","1060312"
"Rashod Bateman","WR","BAL","211","219.5","8.5","WR79","WR88","9","1108208"
"Kayshon Boutte","WR","NE","212","207.0","-5.0","WR80","WR82","2","1213362"
"Keenan Allen","WR","FA","213","227.5","14.5","WR81","WR105","24","557210"
"Jaylin Noel","WR","HOU","214","222.9","8.9","WR82","WR91","9","1286370"
"Dontayvion Wicks","WR","PHI","215","190.2","-24.8","WR83","WR75","-8","1172428"
"Evan Engram","TE","DEN","216","215.8","-0.2","TE32","TE33","1","749185"
"Darius Slayton","WR","NYG","217","229.0","12.0","WR84","WR132","48","880557"
"Kimani Vidal","RB","LAC","218","209.1","-8.9","RB73","RB64","-9","1214824"
"Devaughn Vele","WR","NO","219","228.1","9.1","WR85","WR117","32","1164788"
"Tyreek Hill","WR","FA","220","202.6","-17.4","WR86","WR80","-6","823156"
"Emanuel Wilson","RB","SEA","221","225.2","4.2","RB74","RB71","-3","1447759"
"Jacoby Brissett","QB","ARI","222","166.9","-55.1","QB30","QB28","-2","607047"
"Jaylen Wright","RB","MIA","223","228.0","5.0","RB75","RB84","9","1286513"
"Michael Mayer","TE","LV","224","227.8","3.8","TE33","TE40","7","1232592"
"George Holani","RB","SEA","225","219.3","-5.7","RB76","RB67","-9","1180625"
"Mack Hollins","WR","NE","226","226.4","0.4","WR87","WR98","11","702808"
"Christian Kirk","WR","SF","227","205.1","-21.9","WR88","WR81","-7","865801"
"Dawson Knox","TE","BUF","228","230.2","2.2","TE34","TE54","20","884083"
"Jahan Dotson","WR","ATL","229","229.5","0.5","WR89","WR142","53","1121878"
"Seth McGowan","RB","IND","230","229.9","-0.1","RB77","RB92","15","1213794"
"Andrei Iosivas","WR","CIN","231","229.0","-2.0","WR90","WR129","39","1124851"
"Kalif Raymond","WR","CHI","232","229.1","-2.9","WR91","WR134","43","692660"
"Malachi Fields","WR","NYG","233","218.6","-14.4","WR92","WR87","-5","1319589"
"Kendrick Bourne","WR","ARI","234","229.0","-5.0","WR93","WR131","38","754412"
"Marvin Mims","WR","DEN","235","228.3","-6.7","WR94","WR120","26","1213799"
"KaVontae Turpin","WR","DAL","236","227.6","-8.4","WR95","WR109","14","865958"
"David Njoku","TE","LAC","237","205.1","-31.9","TE35","TE31","-4","832098"
"Isaiah Davis","RB","NYJ","238","227.6","-10.4","RB78","RB82","4","1271609"
"Caleb Douglas","WR","MIA","239","229.0","-10.0","WR96","WR128","32","1394798"
"Chris Brazzell","WR","CAR","240","228.3","-11.7","WR97","WR121","24","1400788"
"Chris Bell","WR","MIA","241","220.3","-20.7","WR98","WR89","-9","1389700"
"Joshua Palmer","WR","BUF","242","228.7","-13.3","WR99","WR125","26","1059612"
"Malik Washington","WR","MIA","243","161.0","-82.0","WR100","WR64","-36","1173255"
"Brandon Aiyuk","WR","FA","244","223.0","-21.0","WR101","WR92","-9","1107034"
"Emari Demercado","RB","KC","245","228.3","-16.7","RB79","RB87","8","1116817"
"Trevor Etienne","RB","CAR","246","225.3","-20.7","RB80","RB73","-7","1394803"
"Tyquan Thornton","WR","KC","247","224.1","-22.9","WR102","WR94","-8","1110301"
"Darnell Washington","TE","PIT","248","226.7","-21.3","TE36","TE35","-1","1218658"
"Darnell Mooney","WR","NYG","249","210.5","-38.5","WR103","WR84","-19","912027"
"Cole Kmet","TE","CHI","250","228.2","-21.8","TE37","TE44","7","1066765"
"Brashard Smith","RB","KC","251","228.8","-22.2","RB81","RB88","7","1313668"
"Ja'Tavion Sanders","TE","CAR","252","231.4","-20.6","TE38","TE59","21","1326628"
"James Conner","RB","ARI","253","225.5","-27.5","RB82","RB74","-8","742390"
"Isaac Guerendo","RB","SF","254","226.4","-27.6","RB83","RB76","-7","1126338"
"Elijah Arroyo","TE","SEA","255","230.7","-24.3","TE39","TE57","18","1286840"
"Noah Gray","TE","KC","256","229.9","-26.1","TE40","TE51","11","1056981"
"Will Shipley","RB","PHI","257","226.6","-30.4","RB84","RB78","-6","1287636"
"Keon Coleman","WR","BUF","258","207.5","-50.5","WR104","WR83","-21","1322431"
"Dyami Brown","WR","WAS","259","228.6","-30.4","WR105","WR122","17","1107878"
"Treylon Burks","WR","WAS","260","230.8","-29.2","WR106","WR154","48","1172024"
"Theo Johnson","TE","NYG","261","229.5","-31.5","TE41","TE50","9","1214414"
"Chimere Dike","WR","TEN","262","228.8","-33.2","WR107","WR126","19","1215102"
"Elijah Sarratt","WR","BAL","263","223.6","-39.4","WR108","WR93","-15","1392584"
"Ted Hurst","WR","TB","264","215.5","-48.5","WR109","WR86","-23","1521285"
"Tyler Higbee","TE","LA","265","228.1","-36.9","TE42","TE43","1","604176"
"Eli Stowers","TE","PHI","266","220.7","-45.3","TE43","TE34","-9","1286065"
"Phil Mafah","RB","DAL","267","228.2","-38.8","RB85","RB86","1","1287641"
"Elic Ayomanor","WR","TEN","268","228.2","-39.8","WR110","WR119","9","1395319"
"Mason Taylor","TE","NYJ","269","231.7","-37.3","TE44","TE61","17","1381263"
"LeQuint Allen","RB","JAX","270","230.2","-39.8","RB86","RB94","8","1378840"
"Tahj Brooks","RB","CIN","271","230.7","-40.3","RB87","RB95","8","1228730"
"Cyrus Allen","WR","KC","272","227.6","-44.4","WR111","WR108","-3","1382670"
"Brenen Thompson","WR","LAC","273","229.3","-43.7","WR112","WR139","27","1399132"
"Pierre Strong","RB","GB","274","240.0","-34.0","RB88","RB101","13","1050335"
"Troy Franklin","WR","DEN","275","212.4","-62.6","WR113","WR85","-28","1286176"
"Jawhar Jordan","RB","HOU","276","232.2","-43.8","RB89","RB99","10","1164137"
"Ja'Kobi Lane","WR","BAL","277","229.1","-47.9","WR114","WR136","22","1458888"
"Malik Benson","WR","LV","278","230.7","-47.3","WR115","WR153","38","1441191"
"Jack Bech","WR","LV","279","230.6","-48.4","WR116","WR150","34","1286046"
"Noah Fant","TE","NO","280","228.5","-51.5","TE45","TE45","0","923911"
"Demario Douglas","WR","NE","281","227.5","-53.5","WR117","WR107","-10","1175693"
"Terrell Jennings","RB","NE","282","240.0","-42.0","RB90","RB101","11","1182082"
"Malik Davis","RB","DAL","283","229.2","-53.8","RB91","RB91","0","975028"
"Devin Neal","RB","NO","284","226.7","-57.3","RB92","RB79","-13","1293066"
"Kendre Miller","RB","NO","285","240.0","-45.0","RB93","RB101","8","1213867"
"Erick All","TE","CIN","286","231.5","-54.5","TE46","TE60","14","1164533"
"Devin Singletary","RB","NYG","287","228.9","-58.1","RB94","RB89","-5","916466"
"Tez Johnson","WR","TB","288","229.5","-58.5","WR118","WR140","22","1214837"
"Eli Heidenreich","WR","PIT","289","228.0","-61.0","WR119","WR115","-4","1395874"
"Ollie Gordon","RB","MIA","290","226.3","-63.7","RB95","RB75","-20","1377766"
"Tommy Tremble","TE","CAR","291","230.3","-60.7","TE47","TE55","8","1130555"
"Olamide Zaccheaus","WR","ATL","292","230.5","-61.5","WR120","WR149","29","883976"
"Luke Schoonmaker","TE","DAL","293","240.0","-53.0","TE48","TE63","15","1130242"
"Skyler Bell","WR","BUF","294","229.5","-64.5","WR121","WR141","20","1325234"
"Zavion Thomas","WR","CHI","295","229.7","-65.3","WR122","WR144","22","1398153"
"Jalen Tolbert","WR","MIA","296","226.8","-69.2","WR123","WR99","-24","1066424"
"Tutu Atwell","WR","MIA","297","229.1","-67.9","WR124","WR133","9","1106760"
"Tua Tagovailoa","QB","ATL","298","193.1","-104.9","QB31","QB31","0","973947"
"Jahdae Walker","WR","CHI","299","227.4","-71.6","WR125","WR104","-21","1465213"
"Isaiah Bond","WR","CLE","300","229.2","-70.8","WR126","WR137","11","1398503"